x,y
1.0,0.0019999987
2.0,0.0039999893
3.0,0.005999964
4.0,0.0079999147
5.0,0.0099998333
6.0,0.011999712
7.0,0.013999543
8.0,0.015999317
9.0,0.017999028
10.0,0.019998667
11.0,0.021998225
12.0,0.023997696
13.0,0.025997071
14.0,0.027996341
15.0,0.0299955
16.0,0.031994539
17.0,0.03399345
18.0,0.035992225
19.0,0.037990855
20.0,0.039989334
21.0,0.041987653
22.0,0.043985804
23.0,0.045983779
24.0,0.04798157
25.0,0.049979169
26.0,0.051976569
27.0,0.05397376
28.0,0.055970735
29.0,0.057967487
30.0,0.059964006
31.0,0.061960286
32.0,0.063956318
33.0,0.065952094
34.0,0.067947607
35.0,0.069942847
36.0,0.071937808
37.0,0.073932481
38.0,0.075926858
39.0,0.077920932
40.0,0.079914694
41.0,0.081908136
42.0,0.083901251
43.0,0.08589403
44.0,0.087886465
45.0,0.089878549
46.0,0.091870274
47.0,0.09386163
48.0,0.095852612
49.0,0.09784321
50.0,0.099833417
51.0,0.20782785
52.0,0.20149196
53.0,0.20899801
54.0,0.19551992
55.0,0.21017896
56.0,0.22662602
57.0,0.24508361
58.0,0.21949643
59.0,0.2405011
60.0,0.24451357
61.0,0.23403167
62.0,0.24603975
63.0,0.25574967
64.0,0.23331155
65.0,0.26349919
66.0,0.27601762
67.0,0.26515656
68.0,0.26590276
69.0,0.26610974
70.0,0.28851174
71.0,0.27369559
72.0,0.31524812
73.0,0.27001322
74.0,0.29972078
75.0,0.2897768
76.0,0.29158535
77.0,0.32135618
78.0,0.32789783
79.0,0.30803251
80.0,0.32496381
81.0,0.31314833
82.0,0.29859678
83.0,0.35320479
84.0,0.33152026
85.0,0.37281607
86.0,0.32036543
87.0,0.36321418
88.0,0.36204079
89.0,0.33783356
90.0,0.36855437
91.0,0.3365467
92.0,0.38195634
93.0,0.38045705
94.0,0.36266707
95.0,0.40419813
96.0,0.38348199
97.0,0.38808215
98.0,0.38798994
99.0,0.37008466
100.0,0.4153747
101.0,0.41863517
102.0,0.44271075
103.0,0.39363219
104.0,0.38377648
105.0,0.42238169
106.0,0.39705037
107.0,0.44392193
108.0,0.46042175
109.0,0.41141298
110.0,0.42877254
111.0,0.4628299
112.0,0.4696026
113.0,0.433501
114.0,0.45995784
