covariance_type,n_components,bic,aic
full,1,-2001.497207,-2020.016120
full,2,-2239.924277,-2280.665884
full,3,-2486.007037,-2548.971339
full,4,-2757.580106,-2842.767103
full,5,-2754.465783,-2861.875475
full,6,-2752.186736,-2881.819122
full,7,-2734.177208,-2886.032290
full,8,-2715.771967,-2889.849744
full,9,-2691.214743,-2887.515214
full,10,-2665.937833,-2884.460999
diag,1,-2004.642360,-2019.457489
diag,2,-2128.041697,-2161.375740
diag,3,-2310.385994,-2362.238949
diag,4,-2388.678476,-2459.050343
diag,5,-2467.040859,-2555.931639
diag,6,-2481.519901,-2588.929592
diag,7,-2499.501001,-2625.429605
diag,8,-2520.846153,-2665.293669
diag,9,-2516.990999,-2679.957428
diag,10,-2519.650364,-2701.135705
spherical,1,-1948.737251,-1959.848598
spherical,2,-2118.636152,-2144.562629
spherical,3,-2213.986585,-2254.728193
spherical,4,-2331.877384,-2387.434121
spherical,5,-2399.603367,-2469.975234
spherical,6,-2428.735780,-2513.922777
spherical,7,-2449.413561,-2549.415688
spherical,8,-2484.601475,-2599.418731
spherical,9,-2507.345701,-2636.978088
spherical,10,-2522.230311,-2666.677828
